name,employees,code
mahle,6136,DE1
hugo boss,4165,DE1
lidl,3603,DE1
festo,3246,DE1
gft group,2772,DE1
m+w group,2376,DE1
mann+hummel group,1982,DE1
maquet getinge group,1831,DE1
sick,1683,DE1
heidelberg,1546,DE1
bertrandt,1482,DE1
carl zeiss vision,1407,DE1
freudenberg sealing technologies,1310,DE1
webasto,1296,DE1
ibm deutschland gmbh,1222,DE1
dekra,1176,DE1
daimler tss,1149,DE1
hartmann group,1089,DE1
eberspaecher,1064,DE1
leica biosystems,1052,DE1
zeiss group,1012,DE1
lbbw,989,DE1
mhp – a porsche company,979,DE1
university of heidelberg,943,DE1
selbstständig,940,DE1
ed. züblin ag,830,DE1
enbw energie baden-württemberg ag,783,DE1
dkfz german cancer research center,782,DE1
pepperl+fuchs,746,DE1
bechtle,746,DE1
swr,710,DE1
berner - experts with passion,662,DE1
personal assistant services,652,DE1
embl,620,DE1
trelleborg sealing solutions,619,DE1
rolls-royce power systems ag,616,DE1
mbtech group gmbh & co. kgaa,583,DE1
bizerba,548,DE1
freudenberg,540,DE1
evobus,528,DE1
fichtner consulting engineers,523,DE1
university of konstanz,523,DE1
marquardt group,522,DE1
walter ag (walter tools),498,DE1
ich ag,495,DE1
hansgrohe,479,DE1
ich,475,DE1
sas automotive,468,DE1
mhp,467,DE1
notariat,460,DE1
frei,457,DE1
automotive lighting,450,DE1
coperion,412,DE1
chg-meridian,403,DE1
voith industrial services,392,DE1
haufe group,390,DE1
ptv group,389,DE1
herrenknecht ag,387,DE1
mtu,370,DE1
rutronik electronics worldwide,357,DE1
horváth & partners management consultants,356,DE1
duravit ag,350,DE1
etas,347,DE1
bosch engineering gmbh,340,DE1
ernst & young j&m management consulting gmbh,339,DE1
karatbars international,326,DE1
conductix-wampfler group,323,DE1
eberhard karls universität tübingen,317,DE1
bis salamis (m&i),304,DE1
gelita,298,DE1
corden pharma - a full-service cdmo,298,DE1
infotec,296,DE1
kavo dental,293,DE1
musikschule,285,DE1
eissmann group automotive,279,DE1
ecole maternelle,279,DE1
sto se & co. kgaa,274,DE1
mackevision,271,DE1
u.s. european command,270,DE1
bürkert fluid control systems,266,DE1
university of freiburg,266,DE1
fuchs petrolub group,264,DE1
vetter pharma-fertigung gmbh & co. kg,262,DE1
pilz,257,DE1
all for one steeb ag,254,DE1
avira,252,DE1
hima,245,DE1
"wild flavors, inc.",238,DE1
schunk,237,DE1
sfeir,235,DE1
freudenberg filtration technologies,233,DE1
ggh,230,DE1
pharmalex,225,DE1
vector informatik gmbh,223,DE1
putzmeister,221,DE1
versicherungsmakler,212,DE1
gmg,208,DE1
universität ulm,206,DE1
cenit,205,DE1
prettl group,198,DE1
siemens,87381,DE2
continental,28156,DE2
allianz,18824,DE2
siemens healthcare,18436,DE2
adidas,18402,DE2
bmw group,18063,DE2
sandoz,8315,DE2
gfk,7104,DE2
schaeffler,6151,DE2
the linde group,5937,DE2
audi ag,5425,DE2
media markt,4985,DE2
bosch rexroth,4645,DE2
puma,4424,DE2
osram,4237,DE2
unify,3515,DE2
leoni,3263,DE2
man diesel & turbo,3223,DE2
brose group,2799,DE2
tüv süd,2739,DE2
munich re (group),2603,DE2
knorr-bremse,2562,DE2
bsh home appliances group,2438,DE2
